"browser","machine","framework","operatingSystem","name","mimeType","losslessAverage","normalAverage","lowQualityAverage"
"chrome","Lenovo 20Y7003XGE","gatsby","Windows 11","sample_1920%C3%971280","WebP","4.625000000232831","5.099999999976717","4.774999999790452"
"firefox","Lenovo 20Y7003XGE","gatsby","Windows 11","sample_5184×3456","JPEG","12.5","10","9.5"
"firefox","Lenovo 20Y7003XGE","gatsby","Windows 11","sample_1920%C3%971280","JPEG","null","10.5","10"
"firefox","Lenovo 20Y7003XGE","gatsby","Windows 11","sample_5184×3456","WebP","9.5","119.5","10.25"
"firefox","Lenovo 20Y7003XGE","gatsby","Windows 11","sample_1920%C3%971280","WebP","9","10.25","8.75"
"chrome","Lenovo 20Y7003XGE","next","Windows 11","sample_5184×3456","JPEG","191.44999999925494","46.44999999925494","21.599999990314245"
"chrome","Lenovo 20Y7003XGE","next","Windows 11","sample_1920%C3%971280","JPEG","null","23.049999997019768","20.599999994039536"
"chrome","Lenovo 20Y7003XGE","next","Windows 11","sample_5184×3456","WebP","316.44999999925494","314.7000000067055","20.25000000745058"
"chrome","Lenovo 20Y7003XGE","next","Windows 11","sample_1920%C3%971280","WebP","61.12500000372529","61.19999999552965","18.350000001490116"
"firefox","Lenovo 20Y7003XGE","next","Windows 11","sample_5184×3456","JPEG","12.5","10","13"
"firefox","Lenovo 20Y7003XGE","next","Windows 11","sample_1920%C3%971280","JPEG","null","10.75","12"
"firefox","Lenovo 20Y7003XGE","next","Windows 11","sample_5184×3456","WebP","9.75","12.5","8.5"
"firefox","Lenovo 20Y7003XGE","next","Windows 11","sample_1920%C3%971280","WebP","9","11","10"
"chrome","Lenovo 20Y7003XGE","react","Windows 11","sample_5184×3456","JPEG","234.8749999962747","47.54999999701977","32.57500000298023"
"chrome","Lenovo 20Y7003XGE","react","Windows 11","sample_1920%C3%971280","JPEG","57.44999999552965","21.974999997764826","16.99999999627471"
"chrome","Lenovo 20Y7003XGE","react","Windows 11","sample_5184×3456","WebP","349.82499999552965","379.3500000014901","24.274999998509884"
"chrome","Lenovo 20Y7003XGE","react","Windows 11","sample_1920%C3%971280","WebP","66.9750000052154","74.64999999850988","20.774999994784594"
"firefox","Lenovo 20Y7003XGE","react","Windows 11","sample_5184×3456","JPEG","50.25","10.5","10.75"
"firefox","Lenovo 20Y7003XGE","react","Windows 11","sample_1920%C3%971280","JPEG","27.5","16.25","20"
"firefox","Lenovo 20Y7003XGE","react","Windows 11","sample_5184×3456","WebP","11","39","13"
"firefox","Lenovo 20Y7003XGE","react","Windows 11","sample_1920%C3%971280","WebP","54","21.5","44.5"
"firefox","Lenovo 20Y7003XGE","remix","Windows 11","sample_5184×3456","JPEG","15","9.75","9.25"
"firefox","Lenovo 20Y7003XGE","remix","Windows 11","sample_1920%C3%971280","JPEG","null","12","12.75"
"firefox","Lenovo 20Y7003XGE","remix","Windows 11","sample_5184×3456","WebP","12.5","12","10.5"
"firefox","Lenovo 20Y7003XGE","remix","Windows 11","sample_1920%C3%971280","WebP","10","11.75","8.5"
